emotion,audio_path
Sadness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s6_sp8_m_05.wav
Sadness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s4_sp12_f_05.wav
Happiness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s2_sp18_f_04.wav
Happiness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s1_sp21_f_04.wav
Happiness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s6_sp1_m_04.wav
Sadness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s6_sp1_m_05.wav
Sadness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s3_sp2_m_05.wav
Happiness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s6_sp2_m_04.wav
Happiness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s4_sp5_m_04.wav
Sadness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s5_sp6_m_05.wav
Fear,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s5_sp21_f_03.wav
Happiness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s6_sp12_f_04.wav
Sadness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s3_sp14_m_05.wav
Happiness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s1_sp17_f_04.wav
Anger,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s1_sp12_f_01.wav
Happiness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s2_sp14_m_04.wav
Anger,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s4_sp16_f_01.wav
Sadness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s4_sp6_m_05.wav
Fear,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s5_sp13_m_03.wav
Sadness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s1_sp18_f_05.wav
Happiness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s1_sp2_m_04.wav
Anger,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s4_sp11_m_01.wav
Anger,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s4_sp6_m_01.wav
Sadness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s1_sp4_f_05.wav
Anger,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s1_sp21_f_01.wav
Anger,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s6_sp4_f_01.wav
Anger,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s1_sp9_m_01.wav
Anger,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s6_sp18_f_01.wav
Fear,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s1_sp4_f_03.wav
Fear,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss2_s5_sp15_m_03.wav
Happiness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s1_sp3_f_04.wav
Anger,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s5_sp3_f_01.wav
Fear,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s2_sp14_m_03.wav
Fear,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s6_sp13_m_03.wav
Sadness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s4_sp5_m_05.wav
Anger,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s2_sp11_m_01.wav
Happiness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s2_sp21_f_04.wav
Happiness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s6_sp13_m_04.wav
Sadness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s6_sp16_f_05.wav
Anger,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s4_sp1_m_01.wav
Fear,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss2_s1_sp22_f_03.wav
Anger,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s4_sp21_f_01.wav
Sadness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss2_s1_sp22_f_05.wav
Sadness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s3_sp9_m_05.wav
Sadness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss2_s4_sp22_f_05.wav
Anger,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s5_sp9_m_01.wav
Fear,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s4_sp1_m_03.wav
Sadness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s5_sp17_f_05.wav
Anger,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s4_sp4_f_01.wav
Sadness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s6_sp17_f_05.wav
Fear,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss2_s6_sp22_f_03.wav
Fear,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s4_sp18_f_03.wav
Happiness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s6_sp9_m_04.wav
Happiness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s2_sp16_f_04.wav
Sadness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s5_sp1_m_05.wav
Happiness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s3_sp13_m_04.wav
Anger,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s4_sp2_m_01.wav
Happiness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s4_sp21_f_04.wav
Happiness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s2_sp17_f_04.wav
Sadness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s2_sp2_m_05.wav
Sadness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s5_sp13_m_05.wav
Fear,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s1_sp17_f_03.wav
Anger,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss2_s2_sp19_f_01.wav
Happiness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss2_s6_sp19_f_04.wav
Sadness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss2_s5_sp20_f_05.wav
Sadness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss2_s5_sp22_f_05.wav
Sadness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s1_sp3_f_05.wav
Fear,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s4_sp21_f_03.wav
Anger,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s5_sp4_f_01.wav
Anger,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s6_sp13_m_01.wav
Happiness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s6_sp3_f_04.wav
Happiness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s2_sp10_m_04.wav
Anger,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s5_sp12_f_01.wav
Anger,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s1_sp10_m_01.wav
Fear,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s6_sp1_m_03.wav
Anger,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s3_sp1_m_01.wav
Fear,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s1_sp10_m_03.wav
Happiness,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss2_s5_sp15_m_04.wav
Fear,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s6_sp8_m_03.wav
Fear,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss1_s5_sp16_f_03.wav
Anger,/bangla-lang-ser-dataset/BANSpEmo Dataset/ss2_s1_sp20_f_01.wav
