emotion,audio_path
Happiness,/berlin-database-of-emotional-speech-emodb/wav/15a04Fd.wav
Happiness,/berlin-database-of-emotional-speech-emodb/wav/13b02Fb.wav
Anger,/berlin-database-of-emotional-speech-emodb/wav/09b01Wb.wav
Anger,/berlin-database-of-emotional-speech-emodb/wav/15a01Wa.wav
Anger,/berlin-database-of-emotional-speech-emodb/wav/14a05Wa.wav
Fear,/berlin-database-of-emotional-speech-emodb/wav/03a05Aa.wav
Anger,/berlin-database-of-emotional-speech-emodb/wav/11a04Wc.wav
Sadness,/berlin-database-of-emotional-speech-emodb/wav/09a05Tb.wav
Anger,/berlin-database-of-emotional-speech-emodb/wav/12a01Wc.wav
Anger,/berlin-database-of-emotional-speech-emodb/wav/12a04Wc.wav
Neutral,/berlin-database-of-emotional-speech-emodb/wav/08b02Nb.wav
Anger,/berlin-database-of-emotional-speech-emodb/wav/12b10Wa.wav
Happiness,/berlin-database-of-emotional-speech-emodb/wav/11a05Fb.wav
Neutral,/berlin-database-of-emotional-speech-emodb/wav/03b01Nb.wav
Fear,/berlin-database-of-emotional-speech-emodb/wav/08a01Ab.wav
Fear,/berlin-database-of-emotional-speech-emodb/wav/10a01Ac.wav
Anger,/berlin-database-of-emotional-speech-emodb/wav/12a02Wa.wav
Happiness,/berlin-database-of-emotional-speech-emodb/wav/14a02Fd.wav
Anger,/berlin-database-of-emotional-speech-emodb/wav/09a04Wa.wav
Anger,/berlin-database-of-emotional-speech-emodb/wav/03b01Wa.wav
Neutral,/berlin-database-of-emotional-speech-emodb/wav/15a04Nc.wav
Neutral,/berlin-database-of-emotional-speech-emodb/wav/15b03Nb.wav
Anger,/berlin-database-of-emotional-speech-emodb/wav/14b02Wb.wav
Fear,/berlin-database-of-emotional-speech-emodb/wav/12a07Ac.wav
Anger,/berlin-database-of-emotional-speech-emodb/wav/11b01Wd.wav
Anger,/berlin-database-of-emotional-speech-emodb/wav/08a07Wc.wav
