emotion,audio_path
Neutral,/ravdess-emotional-speech-audio/Actor_02/03-01-01-01-01-01-02.wav
Neutral,/ravdess-emotional-speech-audio/Actor_02/03-01-01-01-02-01-02.wav
Fear,/ravdess-emotional-speech-audio/Actor_02/03-01-06-02-02-01-02.wav
Sadness,/ravdess-emotional-speech-audio/Actor_02/03-01-04-01-02-01-02.wav
Neutral,/ravdess-emotional-speech-audio/Actor_02/03-01-01-01-01-02-02.wav
Happiness,/ravdess-emotional-speech-audio/Actor_02/03-01-03-01-01-01-02.wav
Anger,/ravdess-emotional-speech-audio/Actor_02/03-01-05-01-01-02-02.wav
Happiness,/ravdess-emotional-speech-audio/Actor_02/03-01-03-01-01-02-02.wav
Fear,/ravdess-emotional-speech-audio/Actor_02/03-01-06-02-01-02-02.wav
Fear,/ravdess-emotional-speech-audio/Actor_02/03-01-06-02-01-01-02.wav
Fear,/ravdess-emotional-speech-audio/Actor_02/03-01-06-01-02-02-02.wav
Sadness,/ravdess-emotional-speech-audio/Actor_02/03-01-04-02-02-02-02.wav
Happiness,/ravdess-emotional-speech-audio/Actor_02/03-01-03-02-01-02-02.wav
Anger,/ravdess-emotional-speech-audio/Actor_02/03-01-05-02-01-01-02.wav
Happiness,/ravdess-emotional-speech-audio/Actor_02/03-01-03-02-02-01-02.wav
Fear,/ravdess-emotional-speech-audio/Actor_02/03-01-06-01-01-01-02.wav
Anger,/ravdess-emotional-speech-audio/Actor_02/03-01-05-01-02-02-02.wav
Anger,/ravdess-emotional-speech-audio/Actor_02/03-01-05-02-02-01-02.wav
Anger,/ravdess-emotional-speech-audio/Actor_02/03-01-05-02-02-02-02.wav
Happiness,/ravdess-emotional-speech-audio/Actor_02/03-01-03-02-02-02-02.wav
Anger,/ravdess-emotional-speech-audio/Actor_02/03-01-05-01-01-01-02.wav
Anger,/ravdess-emotional-speech-audio/Actor_02/03-01-05-02-01-02-02.wav
Happiness,/ravdess-emotional-speech-audio/Actor_02/03-01-03-02-01-01-02.wav
Sadness,/ravdess-emotional-speech-audio/Actor_02/03-01-04-02-01-02-02.wav
Sadness,/ravdess-emotional-speech-audio/Actor_02/03-01-04-02-02-01-02.wav
Fear,/ravdess-emotional-speech-audio/Actor_02/03-01-06-01-02-01-02.wav
Fear,/ravdess-emotional-speech-audio/Actor_02/03-01-06-02-02-02-02.wav
Happiness,/ravdess-emotional-speech-audio/Actor_02/03-01-03-01-02-02-02.wav
Fear,/ravdess-emotional-speech-audio/Actor_02/03-01-06-01-01-02-02.wav
Anger,/ravdess-emotional-speech-audio/Actor_02/03-01-05-01-02-01-02.wav
Neutral,/ravdess-emotional-speech-audio/Actor_02/03-01-01-01-02-02-02.wav
Sadness,/ravdess-emotional-speech-audio/Actor_02/03-01-04-01-01-02-02.wav
Sadness,/ravdess-emotional-speech-audio/Actor_02/03-01-04-02-01-01-02.wav
Sadness,/ravdess-emotional-speech-audio/Actor_02/03-01-04-01-02-02-02.wav
Sadness,/ravdess-emotional-speech-audio/Actor_02/03-01-04-01-01-01-02.wav
Happiness,/ravdess-emotional-speech-audio/Actor_02/03-01-03-01-02-01-02.wav
Anger,/ravdess-emotional-speech-audio/Actor_17/03-01-05-02-01-02-17.wav
Happiness,/ravdess-emotional-speech-audio/Actor_17/03-01-03-01-01-02-17.wav
Happiness,/ravdess-emotional-speech-audio/Actor_17/03-01-03-02-02-01-17.wav
Anger,/ravdess-emotional-speech-audio/Actor_17/03-01-05-01-01-02-17.wav
Neutral,/ravdess-emotional-speech-audio/Actor_17/03-01-01-01-01-01-17.wav
Sadness,/ravdess-emotional-speech-audio/Actor_17/03-01-04-02-02-01-17.wav
Happiness,/ravdess-emotional-speech-audio/Actor_17/03-01-03-02-01-01-17.wav
Fear,/ravdess-emotional-speech-audio/Actor_17/03-01-06-02-02-02-17.wav
Fear,/ravdess-emotional-speech-audio/Actor_17/03-01-06-01-02-01-17.wav
Anger,/ravdess-emotional-speech-audio/Actor_17/03-01-05-01-02-02-17.wav
Sadness,/ravdess-emotional-speech-audio/Actor_17/03-01-04-02-01-01-17.wav
Anger,/ravdess-emotional-speech-audio/Actor_17/03-01-05-02-02-02-17.wav
Happiness,/ravdess-emotional-speech-audio/Actor_17/03-01-03-01-02-01-17.wav
Anger,/ravdess-emotional-speech-audio/Actor_17/03-01-05-02-02-01-17.wav
Anger,/ravdess-emotional-speech-audio/Actor_17/03-01-05-02-01-01-17.wav
Happiness,/ravdess-emotional-speech-audio/Actor_17/03-01-03-02-02-02-17.wav
Sadness,/ravdess-emotional-speech-audio/Actor_17/03-01-04-01-01-02-17.wav
Neutral,/ravdess-emotional-speech-audio/Actor_17/03-01-01-01-01-02-17.wav
Fear,/ravdess-emotional-speech-audio/Actor_17/03-01-06-02-02-01-17.wav
Neutral,/ravdess-emotional-speech-audio/Actor_17/03-01-01-01-02-01-17.wav
Happiness,/ravdess-emotional-speech-audio/Actor_17/03-01-03-01-02-02-17.wav
Fear,/ravdess-emotional-speech-audio/Actor_17/03-01-06-02-01-02-17.wav
Anger,/ravdess-emotional-speech-audio/Actor_17/03-01-05-01-02-01-17.wav
Fear,/ravdess-emotional-speech-audio/Actor_17/03-01-06-01-01-01-17.wav
Fear,/ravdess-emotional-speech-audio/Actor_17/03-01-06-01-02-02-17.wav
Fear,/ravdess-emotional-speech-audio/Actor_17/03-01-06-02-01-01-17.wav
Sadness,/ravdess-emotional-speech-audio/Actor_17/03-01-04-01-01-01-17.wav
Sadness,/ravdess-emotional-speech-audio/Actor_17/03-01-04-01-02-02-17.wav
Happiness,/ravdess-emotional-speech-audio/Actor_17/03-01-03-02-01-02-17.wav
Sadness,/ravdess-emotional-speech-audio/Actor_17/03-01-04-01-02-01-17.wav
Anger,/ravdess-emotional-speech-audio/Actor_17/03-01-05-01-01-01-17.wav
Happiness,/ravdess-emotional-speech-audio/Actor_17/03-01-03-01-01-01-17.wav
Fear,/ravdess-emotional-speech-audio/Actor_17/03-01-06-01-01-02-17.wav
Sadness,/ravdess-emotional-speech-audio/Actor_17/03-01-04-02-01-02-17.wav
