emotion,audio_path
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_C_A_detras.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_C_B_explosivo.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_C_A_por_favor.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_F_B_contrario.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_M_B_disputa.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_M_A_ayer.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_M_A_izquierda.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_C_B_furia.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_C_A_hoy.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_C_A_si.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_M_A_no.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_M_A_si.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_C_B_disputa.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_F_B_barba.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_F_A_basta_ya.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_F_B_huracan.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_C_A_si.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_M_B_encadenado.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_M_B_tranquilidad.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_M_A_antes.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_C_B_traicion.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_C_B_disputa.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_M_A_si.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_F_A_dentro.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_C_A_derecha.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_F_B_odioso.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_C_A_hola.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_C_B_cucaracha.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_F_B_ataque.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_F_A_pronto.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_F_A_detras.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_F_A_hola.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_F_A_hoy.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_C_B_chistoso.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_M_A_por_favor.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_C_A_arriba.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_C_B_creativo.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_C_B_alarma.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_M_A_de_nada.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_F_A_hoy.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_F_B_arana.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_M_A_adios.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_F_B_ofensa.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_C_A_basta_ya.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_F_A_tarde.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_F_B_furia.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_F_A_hola.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_M_A_gracias.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_C_A_lento_dentro.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_M_B_delincuencia.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_F_A_delante.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_C_B_catastrofe.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_C_B_humillacion.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_M_A_dentro.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_M_A_detras.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_F_A_pronto.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_M_B_huracan.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_M_A_adios.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_C_A_delante.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_M_A_nunca.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_M_B_respiracion.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_F_B_odioso.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_F_A_hoy.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_M_A_antes.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_C_B_tristeza.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_F_B_delincuencia.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_M_A_si.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_M_A_rapido.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_M_A_arriba.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_C_A_arriba.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_M_A_ayer.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_C_A_fuera.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_M_B_siesta.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_M_A_hola.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_F_B_paella.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_F_A_hoy.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_F_A_derecha.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_C_A_pronto.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_F_B_metro.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_F_A_tarde.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_M_A_adios.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_C_A_gracias.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_C_A_gracias.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_M_A_por_favor.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_F_A_pronto.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_F_A_adios.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_C_A_pronto.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_F_A_detras.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_C_A_adios.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_C_B_estafa.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_M_B_danza.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_F_A_antes.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_M_A_fuera.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_F_A_dentro.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_M_B_infarto.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_C_A_rapido.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_C_B_conflicto.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_M_A_abajo.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_C_A_izquierda.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_M_B_delgado.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_M_A_de_nada.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_M_B_huracan.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_M_A_basta_ya.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_M_B_desorden.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_C_B_congelado.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_C_B_estafa.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_F_A_izquierda.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_C_B_aguijon.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_C_B_boton.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_M_B_enojo.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_C_B_abuso.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_F_B_insultado.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_F_A_de_nada.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_C_A_basta_ya.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_C_B_cirugia.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_F_B_amenazador.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_M_A_detras.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_M_B_huracan.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_C_A_ayer.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_C_A_si.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_M_B_relajacion.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_M_A_tarde.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_C_A_lento.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_F_A_antes.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_M_B_ferrocarril.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_F_A_nunca.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_F_B_ira.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_M_A_lento.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_F_B_garganta.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_M_B_azulejo.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_C_A_nunca.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_C_B_estricto.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_M_B_bebe.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_C_A_no.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_C_A_hola.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_F_B_desmayo.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_F_B_delincuencia.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_C_B_catastrofe.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_M_B_babosa.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_F_A_lento.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_F_B_relajacion.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_F_B_siesta.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_F_A_tarde.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_F_B_extenso.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_C_B_bello.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_F_A_tarde.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_F_A_abajo.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_C_B_estafa.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_C_A_basta_ya.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_C_A_hoy.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_F_A_adios.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_C_A_rapido.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_F_A_arriba.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_C_A_pronto.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_M_B_injusticia.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_F_B_abuso.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_C_A_de_nada.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_M_B_estafa.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_M_B_bola.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_M_A_abajo.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_F_B_hambre.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_F_A_antes.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_M_A_arriba.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_F_B_mortal.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_M_B_antiguo.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_M_B_calmado.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_F_B_monstruoso.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_M_B_atasco.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_F_B_bola.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_C_A_tarde.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_C_B_delincuencia.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_M_A_pronto.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_C_B_delincuencia.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_C_B_amenazador.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_M_A_nunca.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_C_B_elevado.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_M_A_arriba.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_C_B_injusticia.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_C_A_antes.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_M_B_congelado.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_C_A_gracias.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_M_B_confidente.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_F_B_infarto.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_F_B_conflicto.wav
Anger,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Anger_C_B_enojo.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_F_B_amenazador.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_F_A_izquierda.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_F_A_por_favor.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_C_A_tarde.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_C_B_clavel.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_M_B_aventurero.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_C_B_arana.wav
