emotion,audio_path
Sadness,/tamserdb/11_14_sad.wav
Sadness,/tamserdb/04_04_sad.wav
Neutral,/tamserdb/01_05_neu.wav
Sadness,/tamserdb/16_18_sad.wav
Fear,/tamserdb/21_13_fea.wav
Anger,/tamserdb/01_09_ang.wav
Sadness,/tamserdb/17_12_sad.wav
Happiness,/tamserdb/01_05_hap.wav
Happiness,/tamserdb/13_15_hap.wav
Anger,/tamserdb/11_17_ang.wav
Sadness,/tamserdb/20_15_sad.wav
Anger,/tamserdb/14_16_ang.wav
Anger,/tamserdb/07_08_ang.wav
Anger,/tamserdb/18_19_ang.wav
Happiness,/tamserdb/14_19_hap.wav
Anger,/tamserdb/14_18_ang.wav
Happiness,/tamserdb/03_02_hap.wav
Neutral,/tamserdb/07_07_neu.wav
Neutral,/tamserdb/08_04_neu.wav
Anger,/tamserdb/15_19_ang.wav
Neutral,/tamserdb/20_12_neu.wav
Anger,/tamserdb/09_01_ang.wav
Anger,/tamserdb/08_03_ang.wav
Anger,/tamserdb/10_07_ang.wav
Neutral,/tamserdb/18_19_neu.wav
Neutral,/tamserdb/21_17_neu.wav
Happiness,/tamserdb/22_14_hap.wav
Fear,/tamserdb/13_11_fea.wav
Anger,/tamserdb/12_15_ang.wav
Happiness,/tamserdb/06_07_hap.wav
Neutral,/tamserdb/15_11_neu.wav
Happiness,/tamserdb/08_07_hap.wav
Fear,/tamserdb/18_10_fea.wav
Happiness,/tamserdb/14_11_hap.wav
Sadness,/tamserdb/07_07_sad.wav
Happiness,/tamserdb/11_15_hap.wav
Neutral,/tamserdb/05_05_neu.wav
Fear,/tamserdb/16_12_fea.wav
Anger,/tamserdb/03_06_ang.wav
Happiness,/tamserdb/01_01_hap.wav
Anger,/tamserdb/15_18_ang.wav
Anger,/tamserdb/10_08_ang.wav
Sadness,/tamserdb/05_06_sad.wav
Happiness,/tamserdb/01_06_hap.wav
Neutral,/tamserdb/17_12_neu.wav
Sadness,/tamserdb/16_11_sad.wav
Sadness,/tamserdb/06_01_sad.wav
Neutral,/tamserdb/03_02_neu.wav
Anger,/tamserdb/13_18_ang.wav
Neutral,/tamserdb/14_14_neu.wav
Neutral,/tamserdb/07_04_neu.wav
Sadness,/tamserdb/04_03_sad.wav
Anger,/tamserdb/21_16_ang.wav
Anger,/tamserdb/15_13_ang.wav
Happiness,/tamserdb/22_17_hap.wav
Sadness,/tamserdb/08_02_sad.wav
Sadness,/tamserdb/12_16_sad.wav
Happiness,/tamserdb/02_02_hap.wav
Happiness,/tamserdb/09_02_hap.wav
Anger,/tamserdb/11_18_ang.wav
Sadness,/tamserdb/19_12_sad.wav
Happiness,/tamserdb/08_02_hap.wav
Sadness,/tamserdb/09_02_sad.wav
Anger,/tamserdb/17_16_ang.wav
Neutral,/tamserdb/14_10_neu.wav
Anger,/tamserdb/05_09_ang.wav
Sadness,/tamserdb/18_10_sad.wav
Fear,/tamserdb/11_17_fea.wav
Anger,/tamserdb/21_12_ang.wav
Anger,/tamserdb/18_16_ang.wav
Happiness,/tamserdb/14_16_hap.wav
Happiness,/tamserdb/10_05_hap.wav
Happiness,/tamserdb/13_19_hap.wav
Neutral,/tamserdb/21_12_neu.wav
Fear,/tamserdb/12_10_fea.wav
Anger,/tamserdb/14_19_ang.wav
Sadness,/tamserdb/13_10_sad.wav
Happiness,/tamserdb/11_10_hap.wav
Happiness,/tamserdb/05_09_hap.wav
Anger,/tamserdb/07_02_ang.wav
Anger,/tamserdb/19_10_ang.wav
Sadness,/tamserdb/22_17_sad.wav
Neutral,/tamserdb/14_11_neu.wav
Sadness,/tamserdb/03_04_sad.wav
Happiness,/tamserdb/04_03_hap.wav
Neutral,/tamserdb/14_16_neu.wav
Neutral,/tamserdb/15_18_neu.wav
Sadness,/tamserdb/15_18_sad.wav
Fear,/tamserdb/11_10_fea.wav
Anger,/tamserdb/06_07_ang.wav
Happiness,/tamserdb/06_09_hap.wav
Neutral,/tamserdb/11_14_neu.wav
Fear,/tamserdb/17_19_fea.wav
Anger,/tamserdb/03_07_ang.wav
Neutral,/tamserdb/15_16_neu.wav
Neutral,/tamserdb/11_11_neu.wav
Anger,/tamserdb/16_12_ang.wav
Sadness,/tamserdb/15_12_sad.wav
Sadness,/tamserdb/13_17_sad.wav
