emotion,audio_path
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000439.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000427.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000642.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000542.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000546.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000522.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000442.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000630.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000537.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000424.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000648.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000430.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000437.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000643.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000631.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000527.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000535.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000647.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000435.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000639.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000548.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000521.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000440.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000636.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000540.wav
Anger,/esd-dataset-fyp/Emotion Speech Dataset/0001/Angry/0001_000549.wav
