emotion,audio_path
Fear,/kaggle/input/speech-emotion-recognition-hindi/my Dataset/7/session4/fear/7.4.fear-01.wav
Fear,/kaggle/input/speech-emotion-recognition-hindi/my Dataset/7/session4/fear/7.4.fear-03.wav
Fear,/kaggle/input/speech-emotion-recognition-hindi/my Dataset/7/session4/fear/7.4.fear-04.wav
Fear,/kaggle/input/speech-emotion-recognition-hindi/my Dataset/7/session4/fear/7.4.fear-08.wav
Fear,/kaggle/input/speech-emotion-recognition-hindi/my Dataset/7/session4/fear/7.4.fear-09.wav
Fear,/kaggle/input/speech-emotion-recognition-hindi/my Dataset/7/session4/fear/7.4.fear-10.wav
Fear,/kaggle/input/speech-emotion-recognition-hindi/my Dataset/7/session4/fear/7.4.fear-05.wav
Fear,/kaggle/input/speech-emotion-recognition-hindi/my Dataset/7/session4/fear/7.4.fear-06.wav
Fear,/kaggle/input/speech-emotion-recognition-hindi/my Dataset/7/session4/fear/7.4.fear-07.wav
Fear,/kaggle/input/speech-emotion-recognition-hindi/my Dataset/7/session4/fear/7.4.fear-02.wav
Neutral,/kaggle/input/speech-emotion-recognition-hindi/my Dataset/7/session4/neutral/7.4.neutral-03.wav
Neutral,/kaggle/input/speech-emotion-recognition-hindi/my Dataset/7/session4/neutral/7.4.neutral-05.wav
Neutral,/kaggle/input/speech-emotion-recognition-hindi/my Dataset/7/session4/neutral/7.4.neutral-06.wav
Neutral,/kaggle/input/speech-emotion-recognition-hindi/my Dataset/7/session4/neutral/7.4.neutral-04.wav
Neutral,/kaggle/input/speech-emotion-recognition-hindi/my Dataset/7/session4/neutral/7.4.neutral-10.wav
Neutral,/kaggle/input/speech-emotion-recognition-hindi/my Dataset/7/session4/neutral/7.4.neutral-08.wav
Neutral,/kaggle/input/speech-emotion-recognition-hindi/my Dataset/7/session4/neutral/7.4.neutral-09.wav
Neutral,/kaggle/input/speech-emotion-recognition-hindi/my Dataset/7/session4/neutral/7.4.neutral-02.wav
Neutral,/kaggle/input/speech-emotion-recognition-hindi/my Dataset/7/session4/neutral/7.4.neutral-07.wav
Neutral,/kaggle/input/speech-emotion-recognition-hindi/my Dataset/7/session4/neutral/7.4.neutral-01.wav
Sadness,/kaggle/input/speech-emotion-recognition-hindi/my Dataset/7/session4/sad/7.4.sad-04.wav
