emotion,audio_path
Neutral,/emovo-italian-ser-dataset/EMOVO/f1/neu-f1-n5.wav
Neutral,/emovo-italian-ser-dataset/EMOVO/f1/neu-f1-b2.wav
Neutral,/emovo-italian-ser-dataset/EMOVO/f1/neu-f1-n2.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/sor-f1-d1.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/gio-f1-n1.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/gio-f1-l1.wav
Sadness,/emovo-italian-ser-dataset/EMOVO/f1/tri-f1-l3.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/sor-f1-d2.wav
Fear,/emovo-italian-ser-dataset/EMOVO/f1/pau-f1-n4.wav
Neutral,/emovo-italian-ser-dataset/EMOVO/f1/neu-f1-n4.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/gio-f1-n4.wav
Sadness,/emovo-italian-ser-dataset/EMOVO/f1/tri-f1-d1.wav
Neutral,/emovo-italian-ser-dataset/EMOVO/f1/neu-f1-n3.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/sor-f1-n1.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/gio-f1-b1.wav
Neutral,/emovo-italian-ser-dataset/EMOVO/f1/neu-f1-d1.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/sor-f1-n4.wav
Fear,/emovo-italian-ser-dataset/EMOVO/f1/pau-f1-b2.wav
Anger,/emovo-italian-ser-dataset/EMOVO/f1/rab-f1-l1.wav
Anger,/emovo-italian-ser-dataset/EMOVO/f1/rab-f1-d1.wav
Neutral,/emovo-italian-ser-dataset/EMOVO/f1/neu-f1-l3.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/sor-f1-l4.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/sor-f1-b1.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/gio-f1-d2.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/sor-f1-l1.wav
Anger,/emovo-italian-ser-dataset/EMOVO/f1/rab-f1-b3.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/gio-f1-l4.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/gio-f1-l2.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/gio-f1-n5.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/sor-f1-b3.wav
Neutral,/emovo-italian-ser-dataset/EMOVO/f1/neu-f1-b1.wav
Anger,/emovo-italian-ser-dataset/EMOVO/f1/rab-f1-n5.wav
Anger,/emovo-italian-ser-dataset/EMOVO/f1/rab-f1-l4.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/sor-f1-n5.wav
Neutral,/emovo-italian-ser-dataset/EMOVO/f1/neu-f1-d2.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/gio-f1-n2.wav
Anger,/emovo-italian-ser-dataset/EMOVO/f1/rab-f1-b2.wav
Fear,/emovo-italian-ser-dataset/EMOVO/f1/pau-f1-n2.wav
Fear,/emovo-italian-ser-dataset/EMOVO/f1/pau-f1-l3.wav
Neutral,/emovo-italian-ser-dataset/EMOVO/f1/neu-f1-l4.wav
Sadness,/emovo-italian-ser-dataset/EMOVO/f1/tri-f1-l4.wav
Fear,/emovo-italian-ser-dataset/EMOVO/f1/pau-f1-d1.wav
Fear,/emovo-italian-ser-dataset/EMOVO/f1/pau-f1-l2.wav
Sadness,/emovo-italian-ser-dataset/EMOVO/f1/tri-f1-b2.wav
Sadness,/emovo-italian-ser-dataset/EMOVO/f1/tri-f1-d2.wav
Anger,/emovo-italian-ser-dataset/EMOVO/f1/rab-f1-n3.wav
Fear,/emovo-italian-ser-dataset/EMOVO/f1/pau-f1-n1.wav
Neutral,/emovo-italian-ser-dataset/EMOVO/f1/neu-f1-l1.wav
Fear,/emovo-italian-ser-dataset/EMOVO/f1/pau-f1-n5.wav
Neutral,/emovo-italian-ser-dataset/EMOVO/f1/neu-f1-l2.wav
Fear,/emovo-italian-ser-dataset/EMOVO/f1/pau-f1-b1.wav
Sadness,/emovo-italian-ser-dataset/EMOVO/f1/tri-f1-n1.wav
Sadness,/emovo-italian-ser-dataset/EMOVO/f1/tri-f1-n4.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/sor-f1-l3.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/gio-f1-l3.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/sor-f1-n3.wav
Anger,/emovo-italian-ser-dataset/EMOVO/f1/rab-f1-b1.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/gio-f1-b2.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/sor-f1-l2.wav
Neutral,/emovo-italian-ser-dataset/EMOVO/f1/neu-f1-n1.wav
Anger,/emovo-italian-ser-dataset/EMOVO/f1/rab-f1-l3.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/gio-f1-d1.wav
Sadness,/emovo-italian-ser-dataset/EMOVO/f1/tri-f1-l2.wav
Sadness,/emovo-italian-ser-dataset/EMOVO/f1/tri-f1-b1.wav
Sadness,/emovo-italian-ser-dataset/EMOVO/f1/tri-f1-b3.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/sor-f1-b2.wav
Happiness,/emovo-italian-ser-dataset/EMOVO/f1/gio-f1-n3.wav
Anger,/emovo-italian-ser-dataset/EMOVO/f1/rab-f1-n1.wav
Fear,/emovo-italian-ser-dataset/EMOVO/f1/pau-f1-b3.wav
